,TF,target,value
15,C1QB,LBP,4.904368507628895
15,F2RL1,C1QB,4.626619616468341
26,MARCO,FCER1A,3.916980305068939
4,IL8,HLA-DQB1,3.9039972601972783
3,IL1R2,FN1,3.829803876809483
20,IDO1,FN1,3.809952984636629
27,MSR1,LBP,3.7999247765981385
2,HLA-DQB1,SLC11A1,3.762900312001437
8,EGR1,MARCO,3.6583603539135456
7,IL3RA,LBP,3.6325292387832127
3,IL1R2,CREB5,3.5226288211202865
17,SLC11A1,LTF,3.4296690949996504
29,CEACAM8,FLT3,3.378035920336138
6,IL3RA,IL8,3.350668871610693
11,ARG1,IDO1,3.29775552584771
31,TREM1,CCL2,3.134281529694136
1,HLA-DQA1,HLA-DQB1,3.073727314100978
12,C3AR1,HLA-DRB4,2.9994909708481714
13,PTGDR2,IL8,2.9988753661660548
13,C3AR1,CCL2,2.9937057310435344
11,ARG1,LBP,2.989640253358851
0,HLA-DRB4,LILRA4,2.9595359183714294
34,CTSG,FCER1A,2.9591333994029707
29,CEACAM8,IFI27,2.9442658304378426
3,IL1R2,LBP,2.933840966317833
9,FOS,F2RL1,2.929758324756834
18,FLT3,IL3RA,2.925034872470154
25,IFI27,IL3RA,2.920448762571333
13,PTGDR2,HLA-DQB1,2.9200413171500434
22,IL1RAP,CTSG,2.9177093099849083
10,EGR2,SLC11A1,2.9120422918786115
8,EGR1,IL32,2.8903047298369002
13,C3AR1,LTF,2.875278853381388
25,IFI27,FOS,2.8542491739319655
2,HLA-DQB1,PTGS2,2.8520994877297454
8,EGR1,SLC11A1,2.841636067703588
16,SLC11A1,IL1R2,2.8338820436353127
7,IL3RA,CEACAM6,2.7995812730110297
16,F2RL1,MARCO,2.7965181112336976
32,LCN2,IFI27,2.783398198613132
26,IFI27,TREM1,2.780095093427276
22,LBP,CXCL1,2.779226505685975
21,IDO1,CREB5,2.7338589199397747
25,CCL2,CEACAM6,2.7335267764756623
17,SLC11A1,LILRA4,2.7282292997555695
14,C1QB,IL1R2,2.718615912771783
5,IL8,EGR2,2.6982123701711465
3,PTGS2,HLA-DQB1,2.6977125757485045
32,LCN2,CCL2,2.6824276605472286
13,C3AR1,CREB5,2.663981491975269
27,MSR1,EGR2,2.645752816675639
7,IL3RA,PTGDR2,2.636588254964797
1,HLA-DQA1,CEACAM8,2.6213027591867406
18,FLT3,IL8,2.5884076063029395
4,PTGS2,LCN2,2.587760047498505
11,CXCL1,HLA-DQA1,2.560521646379147
3,IL1R2,IL1RAP,2.540791617955723
10,EGR2,TREM1,2.534901830158896
19,LTF,PTGS2,2.5248344928070825
23,LBP,MSR1,2.499055269153856
0,HLA-DRB4,PTGS2,2.4751109083951475
12,C3AR1,HLA-DQA1,2.284288463678188
23,LILRA4,LTF,2.2364820936251917
18,FLT3,C3AR1,2.202333405628956
34,CTSG,LBP,2.1946665288342797
4,PTGS2,C3AR1,2.172618131287512
12,CXCL1,C1QB,2.131711459768897
31,TREM1,MARCO,2.1267136930158634
1,HLA-DQA1,MSR1,2.0996606718500233
21,IL1RAP,IL3RA,2.0802859420006774
6,FN1,IL1RAP,2.0780947441497934
13,PTGDR2,IL1R2,2.060637126761215
26,MARCO,EGR1,2.060016685478459
5,IL8,F2RL1,2.0599799076731022
29,CEACAM6,IL32,2.055948741327346
17,FCER1A,C3AR1,2.044006468173989
32,LCN2,LBP,2.023000028228417
23,LILRA4,ARG1,2.0221113594190605
14,C1QB,CXCL1,2.020262660726716
18,FLT3,PTGDR2,2.019799971131304
31,TREM1,IL8,2.009833417701281
3,IL1R2,F2RL1,2.006112975674514
23,LILRA4,FCER1A,2.0040221248807657
25,IFI27,PTGS2,2.002291005007411
8,FOS,HLA-DRB4,1.9999052004869151
7,EGR1,HLA-DRB4,1.9997940756995232
18,FLT3,HLA-DRB4,1.9997668478037276
33,CREB5,IL32,1.9997498050802567
34,CTSG,IL32,1.9996047121467821
11,CXCL1,HLA-DRB4,1.999596001861131
30,IL32,ARG1,1.9993736335110974
31,TREM1,PTGS2,1.9985984700705086
20,IDO1,IL3RA,1.9985266976832667
24,CCL2,ARG1,1.9949846692323838
19,LTF,HLA-DQA1,1.9947572484899363
8,EGR1,CTSG,1.9939511137925279
0,HLA-DRB4,FLT3,1.991510399676595
0,HLA-DRB4,ARG1,1.9884939992153492
20,LTF,CTSG,1.983376376129144
8,EGR1,IFI27,1.9798417142880755
31,TREM1,IDO1,1.9791049665932263
10,ARG1,FOS,1.9788788208689831
33,CREB5,IFI27,1.978145733494313
1,HLA-DQA1,ARG1,1.9769783704802182
15,F2RL1,ARG1,1.9752196354286462
28,CEACAM6,FOS,1.9747229549609266
29,CEACAM8,FCER1A,1.974533423177164
21,IDO1,CEACAM6,1.9737550293220711
11,ARG1,FLT3,1.9730186792552922
8,EGR1,PTGDR2,1.9715534634319316
10,ARG1,IL1R2,1.9710908560091562
8,EGR1,FLT3,1.969404965731952
4,PTGS2,IL3RA,1.9691891090993385
26,MARCO,LBP,1.961687511320451
1,HLA-DQA1,TREM1,1.9597226145395183
33,CREB5,EGR1,1.9575635957241913
27,MSR1,IL3RA,1.9567493217131564
23,LILRA4,C1QB,1.9490107779707813
3,IL1R2,FLT3,1.9453012176399034
2,HLA-DQB1,ARG1,1.9445234543528807
17,FCER1A,IL1R2,1.9444810006428366
25,IFI27,LBP,1.9417035030656042
9,FOS,IL32,1.9413105906258359
25,IFI27,IL1RAP,1.9364437030298092
0,HLA-DRB4,IL32,1.9351351137893595
13,C3AR1,IL32,1.9333823305069184
9,FOS,CEACAM8,1.9321731134822735
12,C3AR1,CXCL1,1.9290725252320193
29,CEACAM6,CEACAM8,1.928108295561286
1,HLA-DQA1,PTGS2,1.9278912042239589
4,PTGS2,LBP,1.9274955942041476
27,MSR1,SLC11A1,1.927092367353716
14,PTGDR2,FLT3,1.9248544538597048
24,CCL2,IL3RA,1.9182572244489844
13,C3AR1,LCN2,1.9151764748711915
30,IL32,CEACAM8,1.9148678225759097
21,IL1RAP,EGR1,1.9125102996253875
3,IL1R2,CTSG,1.9104969093956325
34,CREB5,CTSG,1.9057141914397784
23,LILRA4,C3AR1,1.9038657339034493
15,C1QB,TREM1,1.9014034855853907
29,CEACAM8,MSR1,1.897039663422975
7,IL3RA,C3AR1,1.89663850571387
32,LCN2,EGR1,1.8965437556992568
12,CXCL1,CREB5,1.8954991292574286
29,CEACAM8,HLA-DQA1,1.8949429897354357
16,SLC11A1,F2RL1,1.8932866043789316
32,LCN2,LILRA4,1.8861542873473
7,IL3RA,SLC11A1,1.8855051300296208
2,IL1R2,HLA-DQA1,1.884490073134911
32,TREM1,CTSG,1.8839247096528455
25,IFI27,HLA-DQA1,1.8792241865302988
31,IL32,TREM1,1.8782935487757815
18,FCER1A,MARCO,1.8735847963407901
20,LTF,LILRA4,1.869744632043729
4,PTGS2,CEACAM8,1.8676092232050339
11,ARG1,C1QB,1.8670861958406706
5,IL8,CXCL1,1.8617036106155636
12,CXCL1,MARCO,1.860112811256319
32,LCN2,HLA-DQA1,1.8551794602083054
19,LTF,C1QB,1.8549551041656707
5,IL8,SLC11A1,1.8539729945148777
28,CEACAM6,CCL2,1.8537132317971015
16,F2RL1,LBP,1.851737572822691
10,ARG1,EGR1,1.8501393742079308
5,FN1,IL1R2,1.8451725684850127
8,EGR1,FOS,1.8403956058356
19,FLT3,CEACAM8,1.834006294541777
25,IFI27,EGR2,1.8252627319699095
16,SLC11A1,C1QB,1.8206387404574416
14,PTGDR2,LILRA4,1.8178461165454882
15,C1QB,MSR1,1.8058756340887427
19,FLT3,CTSG,1.805750345560395
21,IL1RAP,FN1,1.7998906799121763
18,FCER1A,FLT3,1.7968533942524103
1,HLA-DQA1,FN1,1.791604312154783
19,LTF,HLA-DRB4,1.7905824152098646
0,HLA-DRB4,CEACAM6,1.7879422821429747
8,EGR1,F2RL1,1.7833566001101853
28,CEACAM6,IL1RAP,1.7826396209709487
13,C3AR1,PTGDR2,1.7720029282014902
34,CTSG,IL1RAP,1.7715786662278556
20,LTF,IL1RAP,1.7661386208999141
9,FOS,IFI27,1.7599129650080898
15,C1QB,CREB5,1.7547501963330352
13,C3AR1,LBP,1.7521102154463306
12,CXCL1,IDO1,1.7483196559475924
33,CREB5,C1QB,1.7475580440741336
21,IDO1,MSR1,1.7353005879480756
21,IL1RAP,LTF,1.7268374793623242
6,FN1,LCN2,1.7266037807037349
7,IL3RA,FCER1A,1.7234447126914232
15,F2RL1,C3AR1,1.7212679819972547
28,MSR1,CREB5,1.715647015701294
7,IL3RA,LCN2,1.7135642714497925
6,FN1,FOS,1.7039306141761046
5,IL8,FOS,1.6909544277280075
18,FCER1A,LILRA4,1.680759185943338
17,SLC11A1,CEACAM6,1.6715704049369142
7,EGR1,HLA-DQA1,1.6654098347357247
8,EGR1,CREB5,1.6451880342107583
3,IL1R2,C3AR1,1.6442005925579533
1,HLA-DQA1,MARCO,1.6407129194805803
17,SLC11A1,IDO1,1.6402074341533872
30,IL32,IL8,1.6169033709048344
32,LCN2,EGR2,1.5327502603586063
31,TREM1,HLA-DQB1,1.5121008457969562
20,IDO1,C3AR1,1.444764897498154
26,MARCO,LTF,1.4422255886358153
19,FLT3,IFI27,1.4329795301050725
24,CCL2,IDO1,1.4031730101656334
14,C1QB,EGR2,1.3953069962806992
8,EGR1,CXCL1,1.3948498008947294
24,CCL2,HLA-DQA1,1.393389319253296
3,IL1R2,LCN2,1.3845075667336904
18,FCER1A,CEACAM6,1.34601411360196
20,LTF,TREM1,1.3014516663527487
14,C1QB,C3AR1,1.282373101176352
25,CCL2,MARCO,1.2780633502407612
12,CXCL1,IL1RAP,1.2731742094585585
34,CTSG,SLC11A1,1.2437552041677593
26,IFI27,CREB5,1.2411567008790072
2,HLA-DQB1,CEACAM6,1.2349066590395104
12,CXCL1,LTF,1.2196796457443373
33,CREB5,HLA-DRB4,1.2093969738748602
31,TREM1,EGR1,1.205691980404135
17,SLC11A1,IFI27,1.2037667523983835
18,FCER1A,MSR1,1.202929282855977
4,PTGS2,EGR2,1.2026393403920563
3,IL1R2,PTGDR2,1.199500117095536
7,IL3RA,LILRA4,1.1936758055938665
17,FCER1A,FN1,1.1873841471850495
18,FLT3,F2RL1,1.185118621488268
5,IL8,MSR1,1.1831337961375161
32,LCN2,FOS,1.1720606686344661
33,LCN2,CTSG,1.1674871668137892
33,CREB5,CEACAM6,1.1650693585454819
7,IL3RA,FOS,1.160493811279006
2,HLA-DQB1,EGR2,1.1492839788071894
28,CEACAM6,IDO1,1.1438896714483384
20,LTF,LBP,1.1426362636980707
21,IL1RAP,FCER1A,1.1391526158196699
0,HLA-DRB4,C1QB,1.1377915145653983
25,CCL2,LCN2,1.1376116707841601
1,HLA-DQA1,LCN2,1.1357845485121052
7,IL3RA,EGR2,1.1318646763800742
27,MARCO,TREM1,1.1265446669832182
6,FN1,EGR2,1.1175690593383145
10,EGR2,CREB5,1.1129029825829666
1,HLA-DQA1,CXCL1,1.1125821023072735
27,MSR1,CXCL1,1.1094700032181004
4,PTGS2,CCL2,1.10518719991415
5,IL8,MARCO,1.1035853249905065
33,CREB5,EGR2,1.0971675100850193
18,FCER1A,CCL2,1.090684529266933
12,CXCL1,LILRA4,1.086131111259791
14,PTGDR2,CEACAM8,1.07587407430456
28,CEACAM6,LILRA4,1.0745475331380616
30,IL32,PTGS2,1.073132453060135
22,LBP,IDO1,1.0724636731292403
7,EGR1,IL1R2,1.0717590981422052
28,CEACAM6,PTGS2,1.0693548224409692
4,PTGS2,CXCL1,1.0690705459105274
27,MSR1,LILRA4,1.0672042944242355
19,LTF,EGR1,1.066421093828986
21,IL1RAP,FLT3,1.0651244347642472
3,IL1R2,MARCO,1.0646743539154444
6,FN1,IL32,1.0644110610908672
4,PTGS2,IL32,1.0613313985557429
5,IL8,LILRA4,1.0595760167327857
15,F2RL1,CXCL1,1.05792555250794
31,TREM1,FN1,1.0501937004254462
21,IDO1,LBP,1.0494965762573913
5,IL8,LTF,1.0492647722038597
24,LILRA4,CREB5,1.0441869250261318
31,TREM1,IL3RA,1.0427089989588163
21,IL1RAP,C1QB,1.042689500018649
12,C3AR1,IL3RA,1.036472819092103
3,IL1R2,CEACAM8,1.0317223233687975
27,MSR1,CCL2,1.0313306718273079
1,HLA-DQA1,EGR2,1.030521303886268
19,LTF,SLC11A1,1.0295081864910065
5,IL8,LBP,1.0292845429743653
6,FN1,CEACAM8,1.0290132681059416
30,CEACAM8,TREM1,1.028867311007487
30,IL32,IL1R2,1.0285135342795568
18,FLT3,SLC11A1,1.0280546677918634
26,MARCO,F2RL1,1.0278122268092598
3,IL1R2,IL3RA,1.0277668640948832
1,HLA-DQA1,FLT3,1.0268666668251842
16,F2RL1,FLT3,1.0266681623255605
11,CXCL1,ARG1,1.024021571703222
3,IL1R2,FOS,1.0218034680310752
23,LILRA4,EGR1,1.0211058184448483
13,C3AR1,CTSG,1.0169742971594697
31,TREM1,LILRA4,1.0162379113867155
22,IL1RAP,LBP,1.014157661619184
25,CCL2,IFI27,1.0141064322347477
28,CEACAM6,HLA-DQA1,1.0139775759937968
33,CREB5,FN1,1.0133567644189019
0,HLA-DRB4,F2RL1,1.0126853435644187
6,FN1,PTGDR2,1.0124564548631942
3,IL1R2,CCL2,1.0108467556078164
20,LTF,MSR1,1.0100509201937633
32,LCN2,LTF,1.0095301862124837
4,PTGS2,MSR1,1.0086824647157537
33,LCN2,CREB5,1.0076241614420525
26,IFI27,CEACAM8,1.0058197931546473
28,MSR1,LCN2,1.0048699529909306
33,CREB5,LBP,1.0046565399435903
2,HLA-DQB1,IL8,1.004039482869116
33,CREB5,CEACAM8,1.0033349944502348
26,IFI27,LCN2,1.0030428307188743
4,PTGS2,ARG1,1.0026441981141565
2,HLA-DQB1,LCN2,1.0018271222720565
21,IL1RAP,ARG1,1.0014840458496361
22,LBP,C1QB,1.0013937782234625
28,CEACAM6,LTF,1.0012171939216918
12,C3AR1,IL8,1.0005489005745944
5,FN1,HLA-DRB4,1.000470463303734
13,C3AR1,IL1RAP,1.0001424830843704
29,CEACAM8,HLA-DRB4,1.0001109193200024
9,FOS,CTSG,1.0001050300082839
17,FCER1A,HLA-DRB4,1.000087926193525
29,CEACAM8,HLA-DQB1,1.0000683933973178
10,EGR2,PTGDR2,1.0
6,IL3RA,HLA-DRB4,1.0
2,HLA-DQB1,IL1RAP,1.0
17,FCER1A,IL3RA,1.0
27,MSR1,HLA-DRB4,1.0
20,IDO1,PTGS2,1.0
30,IL32,MARCO,0.9999999999999997
16,F2RL1,LTF,0.999999999999996
1,HLA-DQA1,IL32,0.9999998371146803
30,IL32,HLA-DRB4,0.9999978407049032
20,LTF,IL32,0.9999965446732751
1,HLA-DQB1,HLA-DRB4,0.9999873310586688
17,FCER1A,PTGS2,0.999961819697719
27,MSR1,HLA-DQB1,0.9999586529402092
14,C1QB,HLA-DQB1,0.9999443628902434
18,FLT3,HLA-DQB1,0.9999316066026821
0,HLA-DQA1,HLA-DRB4,0.9999231818953532
9,EGR2,HLA-DRB4,0.9998929521302842
3,PTGS2,HLA-DRB4,0.999892952130284
6,FN1,MSR1,0.9998534412647929
29,CEACAM8,IL8,0.999819471455176
24,CCL2,PTGS2,0.9997912157281512
8,FOS,PTGS2,0.9997821365081514
12,CXCL1,IL32,0.9997356109075204
25,IFI27,ARG1,0.9997324473486083
32,LCN2,HLA-DRB4,0.999638953499179
24,CCL2,PTGDR2,0.9995852246124273
25,IFI27,IL8,0.9993835122280468
8,EGR1,IL1RAP,0.9991999689566161
5,IL8,PTGDR2,0.9991566144361524
26,MARCO,PTGDR2,0.9990898381416303
34,CTSG,EGR2,0.9989821558518526
17,FCER1A,ARG1,0.9988853084056529
0,HLA-DRB4,PTGDR2,0.9988783272367152
19,LTF,ARG1,0.9988059228862269
32,LCN2,ARG1,0.9987049966468116
20,IDO1,IL1R2,0.9986281513646106
7,IL3RA,CEACAM8,0.9985346820609808
1,HLA-DQA1,IL8,0.998444826031007
5,FN1,HLA-DQB1,0.9980374047476738
9,FOS,PTGDR2,0.99800887928753
11,CXCL1,EGR1,0.9976328195885935
15,F2RL1,IL3RA,0.9975480903746445
11,CXCL1,HLA-DQB1,0.9974709085979803
19,FLT3,MSR1,0.9974198489034681
22,LBP,IL1R2,0.9969284304284904
20,LTF,CEACAM8,0.9969068539967211
12,C3AR1,FOS,0.9966771671639485
11,CXCL1,FOS,0.9966771671639483
34,CTSG,PTGDR2,0.9966651572372637
6,FN1,IFI27,0.9966612746053073
28,CEACAM6,HLA-DQB1,0.9966172502603214
23,LBP,CREB5,0.9964670752736755
3,IL1R2,LTF,0.9963759802968793
0,HLA-DRB4,LTF,0.9963759802968791
2,IL1R2,HLA-DQB1,0.9962959077200396
14,C1QB,PTGDR2,0.9960153754507256
20,LTF,IFI27,0.99596515442706
11,ARG1,FCER1A,0.9957657016594359
22,LBP,EGR2,0.9954153915301295
0,HLA-DRB4,CXCL1,0.9951953442171676
30,IL32,SLC11A1,0.9950866600959208
23,LBP,IFI27,0.9947942548962665
4,PTGS2,IFI27,0.9947942548962663
16,SLC11A1,PTGDR2,0.9947384034575467
28,CEACAM6,IL1R2,0.9944809597931352
25,IFI27,CXCL1,0.9943814807988757
23,LILRA4,SLC11A1,0.9940830153549909
18,FCER1A,CTSG,0.9940127988921333
15,C1QB,CTSG,0.9939643191402142
0,HLA-DRB4,IL3RA,0.9939290642212156
21,IDO1,CTSG,0.9938592891319302
6,IL3RA,FN1,0.9936579088908444
31,TREM1,CXCL1,0.9934990388699797
23,LILRA4,IL1R2,0.9934662013133606
25,IFI27,HLA-DQB1,0.9933491849447286
2,HLA-DQB1,FN1,0.9931892116456955
33,CREB5,CCL2,0.992266481744454
4,PTGS2,C1QB,0.9920323298729223
11,CXCL1,IL8,0.99149853548945
13,C3AR1,CEACAM6,0.9907007997964522
8,EGR1,C1QB,0.9896562901570647
29,CEACAM8,FOS,0.9889545206199918
6,FN1,ARG1,0.9887794324346179
2,HLA-DQB1,F2RL1,0.9884140437731925
1,HLA-DQA1,CEACAM6,0.9881464565689856
31,TREM1,LTF,0.9874051948636051
9,FOS,LTF,0.9872027275181975
8,EGR1,LTF,0.9871694446208797
27,MSR1,FOS,0.9867369986313786
21,IL1RAP,FOS,0.9855960032837143
9,FOS,MARCO,0.9850244080634238
17,SLC11A1,FLT3,0.9847024828659758
29,CEACAM6,CREB5,0.9841201311392703
19,FLT3,LTF,0.9838196470544189
33,CREB5,MARCO,0.9838099545197838
30,IL32,IFI27,0.9833456766465042
12,C3AR1,ARG1,0.9832776091536244
18,FLT3,ARG1,0.9829605572869998
33,CREB5,FOS,0.9827918858774499
7,IL3RA,CCL2,0.9824633855987684
6,FN1,CXCL1,0.9822571237803855
15,C1QB,CCL2,0.9819474787644885
10,EGR2,F2RL1,0.9808248004676778
18,FLT3,FCER1A,0.9805113060091393
10,EGR2,CCL2,0.9798354899831165
22,IL1RAP,LCN2,0.9797864517709273
0,HLA-DRB4,FN1,0.9796562070931235
19,LTF,FN1,0.9796562070931235
19,LTF,FOS,0.9795757003933122
7,IL3RA,ARG1,0.9792582423796985
2,HLA-DQB1,IL1R2,0.9787509637269702
28,CEACAM6,EGR1,0.9784147341669389
22,LBP,EGR1,0.9784147341669389
17,FCER1A,IL8,0.9783114066939695
30,IL32,EGR1,0.9774169838044524
25,IFI27,EGR1,0.977225833281279
28,CEACAM6,FCER1A,0.9771199704553264
22,IL1RAP,MSR1,0.9766498217830208
14,C1QB,IL8,0.9765909227904861
28,CEACAM6,SLC11A1,0.9761697601869459
20,IDO1,EGR2,0.9756346648553038
15,F2RL1,EGR1,0.9753786236038098
0,HLA-DRB4,MSR1,0.9752792044729277
19,LTF,FCER1A,0.9745334231771642
25,CCL2,TREM1,0.9739671130675807
15,C1QB,SLC11A1,0.9739330116502705
16,F2RL1,FCER1A,0.9726014632003044
22,IL1RAP,CEACAM6,0.9725603465563013
20,LTF,CEACAM6,0.9725603465563013
33,CREB5,SLC11A1,0.9718598920547026
26,IFI27,CTSG,0.9715947974884689
32,LCN2,MSR1,0.9714993278129245
11,ARG1,SLC11A1,0.9714469937816338
3,IL1R2,C1QB,0.9712140219250274
8,EGR1,CCL2,0.9711930183853894
27,MSR1,FCER1A,0.9706377265563183
30,IL32,LBP,0.9692459478399758
28,CEACAM6,IL8,0.9688036687890212
1,HLA-DQA1,IL3RA,0.9677079329342116
31,TREM1,CEACAM8,0.9676517374438235
0,HLA-DRB4,IL1R2,0.9673014556356232
26,MARCO,IL8,0.965844344314373
7,IL3RA,FLT3,0.9657986375226472
18,FCER1A,CEACAM8,0.9652841714382921
5,IL8,EGR1,0.9647738300584727
5,IL8,IL3RA,0.964739836709288
28,CEACAM6,EGR2,0.9634300552898409
8,EGR1,MSR1,0.9629354227761511
23,LBP,MARCO,0.9624018879465519
12,CXCL1,MSR1,0.9606557181389055
11,CXCL1,IL3RA,0.960576248054847
18,FCER1A,LCN2,0.9604207213042946
7,IL3RA,CXCL1,0.9597697352607409
33,CREB5,FLT3,0.9590558163370575
13,C3AR1,MSR1,0.9586075705817759
13,C3AR1,FLT3,0.9583554142830819
1,HLA-DQA1,FCER1A,0.9576246916592275
23,LILRA4,FLT3,0.9574467480080263
29,CEACAM8,IL1RAP,0.955039023440153
24,CCL2,FN1,0.9548846943533836
15,C1QB,LCN2,0.9546907063488503
19,FLT3,CCL2,0.9543682829611198
6,FN1,CCL2,0.9539176455894804
16,F2RL1,CCL2,0.9539176455894802
